Gurobi shell based on Python 3.13.1 can be launched with command `gurobi.sh`
Gurobi Python Interface can be loaded in Python 3.13.1 with 'import gurobipy'
/var/spool/slurm/slurmd/job21007463/slurm_script: line 24: activate: No such file or directory
Cutting Planes In: 20, Cutting Planes Out: 8, Solve Time: 32.343342304229736 seconds
Cutting Planes In: 20, Cutting Planes Out: 10, Solve Time: 41.81468749046326 seconds
Cutting Planes In: 20, Cutting Planes Out: 12, Solve Time: 124.91018962860107 seconds
Cutting Planes In: 20, Cutting Planes Out: 14, Solve Time: 58.51051998138428 seconds
Cutting Planes In: 20, Cutting Planes Out: 16, Solve Time: 67.99022245407104 seconds
Cutting Planes In: 20, Cutting Planes Out: 18, Solve Time: 85.83399510383606 seconds
Cutting Planes In: 20, Cutting Planes Out: 20, Solve Time: 113.71641731262207 seconds
Saved to "$FIG_PATH"/cut_plane_solve_times.csv
Traceback (most recent call last):
  File "/gpfs/home5/lbeemster/projects/hydrogen_gas/study_case_model/Experiments/python_files/examine_speed.py", line 379, in <module>
    solve_times = density_solve_times(G, scenarios, density_bounds, runs = 4)
TypeError: density_solve_times() got multiple values for argument 'runs'
